elo.diff;outcome
-81;0
-382;0
-2;1
247.6;1
-80.3999999999999;1
114.2;0
-52.6000000000001;1
-203.4;0
-62.1999999999998;1
-2;1
89.8;0
61.2;0
